City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
84,Marzuq,14.4,46.4667,58.3,30,21,3.09,YE,2022-01-29 00:55:31,few clouds
85,Katobu,-4.9408,122.5276,82.92,72,100,7.18,ID,2022-01-29 00:55:31,overcast clouds
86,Mount Isa,-20.7333,139.5,82.17,78,100,12.66,AU,2022-01-29 00:52:59,overcast clouds
87,Pevek,69.7008,170.3133,-10.59,100,100,1.79,RU,2022-01-29 00:55:32,overcast clouds
88,Rakkestad,59.4251,11.3454,40.75,91,100,17.94,NO,2022-01-29 00:55:32,overcast clouds
89,Ust-Ilimsk,58.0006,102.6619,-17.14,100,91,2.98,RU,2022-01-29 00:55:32,overcast clouds
90,Mount Gambier,-37.8333,140.7667,69.71,64,100,16.11,AU,2022-01-29 00:55:33,overcast clouds
91,Thunder Bay,48.4001,-89.3168,8.51,56,100,4.61,CA,2022-01-29 00:51:44,overcast clouds
92,Vardo,70.3705,31.1107,31.89,57,100,20.74,NO,2022-01-29 00:55:33,light snow
93,Rottenmann,47.5167,14.35,31.28,99,94,3.94,AT,2022-01-29 00:55:33,overcast clouds
94,Qui Nhon,13.7667,109.2333,73.98,81,32,6.24,VN,2022-01-29 00:56:34,scattered clouds
95,Brownsville,25.9018,-97.4975,53.1,77,100,1.01,US,2022-01-29 00:55:30,overcast clouds
96,Ponta Do Sol,32.6667,-17.1,62.71,61,46,5.46,PT,2022-01-29 00:56:34,scattered clouds
97,Cozumel,20.5083,-86.9458,75.99,81,43,11.01,MX,2022-01-29 00:51:57,scattered clouds
98,Caiaponia,-16.9567,-51.8103,67.89,97,100,4.05,BR,2022-01-29 00:56:35,overcast clouds
99,Minsk,53.9,27.5667,29.95,91,95,18.39,BY,2022-01-29 00:56:35,overcast clouds
100,Qostanay,53.1667,63.5833,4.24,89,100,5.06,KZ,2022-01-29 00:56:35,overcast clouds
101,Fortuna,40.5982,-124.1573,58.12,62,0,5.75,US,2022-01-29 00:56:36,clear sky
102,Bilibino,68.0546,166.4372,-7.69,96,100,4.09,RU,2022-01-29 00:52:52,overcast clouds
103,Broome,42.2506,-75.833,19.17,78,100,1.99,US,2022-01-29 00:56:36,overcast clouds
104,Hasaki,35.7333,140.8333,41.4,70,100,6.49,JP,2022-01-29 00:56:36,overcast clouds
105,Namibe,-15.1961,12.1522,71.65,82,100,6.17,AO,2022-01-29 00:53:01,overcast clouds
106,Urumqi,43.801,87.6005,-6.65,84,75,2.24,CN,2022-01-29 00:56:37,mist
107,Vestmannaeyjar,63.4427,-20.2734,26.82,68,100,29.3,IS,2022-01-29 00:56:37,overcast clouds
108,Isangel,-19.55,169.2667,80.71,89,100,4.61,VU,2022-01-29 00:56:37,shower rain
109,Tuatapere,-46.1333,167.6833,71.82,38,100,3.38,NZ,2022-01-29 00:56:38,overcast clouds
110,Portland,45.5234,-122.6762,48.13,59,67,1.99,US,2022-01-29 00:53:10,broken clouds
111,Mahibadhoo,3.7833,72.9667,81.1,63,36,15.19,MV,2022-01-29 00:56:38,scattered clouds
112,Port Elizabeth,-33.918,25.5701,66.09,94,75,12.66,ZA,2022-01-29 00:56:38,broken clouds
113,San Patricio,28.017,-97.5169,55.49,45,0,7.49,US,2022-01-29 00:56:39,clear sky
114,Bazpur,29.15,79.1167,45.7,79,0,3.02,IN,2022-01-29 00:56:39,clear sky
115,Vila,42.0304,-8.1588,34.68,49,0,5.19,PT,2022-01-29 00:56:39,clear sky
116,Alofi,-19.0595,-169.9187,85.89,70,15,11.5,NU,2022-01-29 00:56:40,few clouds
117,Bethel,41.3712,-73.414,30.56,88,100,5.59,US,2022-01-29 00:56:40,overcast clouds
118,Cockburn Town,21.4612,-71.1419,75.16,73,40,4.61,TC,2022-01-29 00:56:40,scattered clouds
119,Russell,32.3502,-85.1999,44.11,48,5,12.39,US,2022-01-29 00:56:41,clear sky
120,Karratha,-20.7377,116.8463,83.77,59,64,12.37,AU,2022-01-29 00:56:41,broken clouds
121,Hermanus,-34.4187,19.2345,60.8,77,11,12.06,ZA,2022-01-29 00:56:41,few clouds
122,Arraial Do Cabo,-22.9661,-42.0278,75.16,94,20,3.44,BR,2022-01-29 00:56:42,few clouds
123,Matamoros,25.5333,-103.25,46.67,70,10,8.84,MX,2022-01-29 00:56:42,clear sky
124,Nikolskoye,59.7035,30.7861,26.49,95,100,7.31,RU,2022-01-29 00:56:42,overcast clouds
125,Uyuni,-20.4597,-66.825,56.57,56,32,13.0,BO,2022-01-29 00:56:43,scattered clouds
126,Abu Samrah,35.3029,37.1841,38.8,91,100,4.81,SY,2022-01-29 00:56:43,overcast clouds
127,Iquique,-20.2208,-70.1431,66.65,76,28,0.4,CL,2022-01-29 00:56:43,scattered clouds
128,Chuy,-33.6971,-53.4616,64.47,75,1,6.53,UY,2022-01-29 00:56:43,clear sky
129,Acapulco,16.8634,-99.8901,78.12,77,0,5.88,MX,2022-01-29 00:53:45,clear sky
130,Castro,-24.7911,-50.0119,59.18,98,100,9.95,BR,2022-01-29 00:56:44,overcast clouds
131,Port Lincoln,-34.7333,135.8667,68.77,72,100,15.64,AU,2022-01-29 00:56:44,overcast clouds
132,Ziri,46.0422,14.1072,33.03,66,32,1.61,SI,2022-01-29 00:56:45,scattered clouds
133,Araouane,18.9048,-3.5265,67.55,16,78,10.85,ML,2022-01-29 00:56:45,broken clouds
134,Dikson,73.5069,80.5464,3.52,94,100,17.81,RU,2022-01-29 00:56:45,overcast clouds
135,Moranbah,-22.0016,148.0466,85.21,51,82,17.52,AU,2022-01-29 00:56:46,broken clouds
136,Srednekolymsk,67.45,153.6833,-8.63,93,100,2.51,RU,2022-01-29 00:56:46,overcast clouds
137,Manakara,-22.1333,48.0167,69.35,85,7,3.98,MG,2022-01-29 00:56:46,clear sky
138,Alexandria,31.2156,29.9553,51.76,87,40,3.44,EG,2022-01-29 00:56:28,scattered clouds
139,Camacha,33.0833,-16.3333,56.62,72,40,13.8,PT,2022-01-29 00:56:47,scattered clouds
140,Adrar,20.5022,-10.0711,71.62,12,100,0.54,MR,2022-01-29 00:57:47,overcast clouds
141,Esperance,-33.8667,121.9,71.44,50,0,10.0,AU,2022-01-29 00:57:47,clear sky
142,Faanui,-16.4833,-151.75,81.41,73,7,15.88,PF,2022-01-29 00:57:48,light rain
143,Kalmar,56.6616,16.3616,33.96,77,40,8.05,SE,2022-01-29 00:57:48,scattered clouds
144,Yellowknife,62.456,-114.3525,-3.48,87,40,9.22,CA,2022-01-29 00:57:48,light snow
145,Quatre Cocos,-20.2078,57.7625,77.11,81,5,8.32,MU,2022-01-29 00:55:07,clear sky
146,Ngunguru,-35.6167,174.5,73.17,62,100,13.49,NZ,2022-01-29 00:57:48,overcast clouds
147,Cape Town,-33.9258,18.4232,66.61,66,0,4.0,ZA,2022-01-29 00:53:16,clear sky
148,Noumea,-22.2763,166.4572,84.18,99,100,13.62,NC,2022-01-29 00:57:49,overcast clouds
149,Skibbereen,51.55,-9.2667,51.6,90,100,21.45,IE,2022-01-29 00:57:49,overcast clouds
150,Ikalamavony,-21.15,46.5833,63.77,86,0,3.71,MG,2022-01-29 00:57:50,clear sky
151,Mahajanga,-15.7167,46.3167,77.02,94,40,3.44,MG,2022-01-29 00:57:50,scattered clouds
152,Taksimo,56.3444,114.8794,-15.47,92,64,2.59,RU,2022-01-29 00:57:50,broken clouds
153,High Level,58.5169,-117.136,19.51,86,75,5.75,CA,2022-01-29 00:57:51,broken clouds
154,Yumen,40.2833,97.2,18.12,44,6,6.33,CN,2022-01-29 00:57:51,clear sky
155,Ayr,55.4627,-4.6339,52.32,87,100,19.57,GB,2022-01-29 00:57:51,overcast clouds
156,Provideniya,64.3833,-173.3,1.49,97,19,2.8,RU,2022-01-29 00:57:51,few clouds
157,Troitskoye,52.9821,84.6757,-6.11,100,92,3.74,RU,2022-01-29 00:57:52,overcast clouds
158,Airai,-8.9266,125.4092,69.26,69,100,4.54,TL,2022-01-29 00:57:52,overcast clouds
159,Hobyo,5.3505,48.5268,76.87,65,96,19.39,SO,2022-01-29 00:54:13,overcast clouds
160,San Quintin,30.4833,-115.95,62.71,47,77,4.81,MX,2022-01-29 00:57:52,broken clouds
161,Saskylakh,71.9167,114.0833,-1.73,92,100,5.28,RU,2022-01-29 00:57:53,overcast clouds
162,Teknaf,20.8624,92.3058,57.15,65,5,10.69,BD,2022-01-29 00:57:53,clear sky
163,Vao,-22.6667,167.4833,78.49,83,100,24.54,NC,2022-01-29 00:55:27,moderate rain
164,Haines Junction,60.7522,-137.5108,35.55,64,100,8.05,CA,2022-01-29 00:57:53,overcast clouds
165,Luderitz,-26.6481,15.1594,68.58,72,0,26.28,NA,2022-01-29 00:57:54,clear sky
166,Avarua,-21.2078,-159.775,84.25,74,21,12.66,CK,2022-01-29 00:57:54,few clouds
167,Mongo,12.1844,18.693,64.45,19,4,6.6,TD,2022-01-29 00:57:54,clear sky
168,Manggar,-2.8833,108.2667,80.91,75,100,6.46,ID,2022-01-29 00:57:55,overcast clouds
169,Meulaboh,4.1363,96.1285,78.66,86,52,2.51,ID,2022-01-29 00:57:55,broken clouds
170,Chany,55.3121,76.7647,-4.2,99,76,4.72,RU,2022-01-29 00:57:55,broken clouds
171,La Rioja,42.25,-2.5,33.12,65,0,5.57,ES,2022-01-29 00:57:56,clear sky
172,Bima,-8.4667,118.7167,82.54,80,94,1.41,ID,2022-01-29 00:57:56,overcast clouds
173,Thinadhoo,0.5333,72.9333,80.26,66,45,9.51,MV,2022-01-29 00:57:56,scattered clouds
174,Kirovskiy,45.0917,133.5136,3.13,92,100,7.76,RU,2022-01-29 00:57:57,overcast clouds
175,Kutum,14.2,24.6667,49.28,19,5,9.31,SD,2022-01-29 00:57:57,clear sky
176,Avera,33.194,-82.5271,45.91,63,78,18.9,US,2022-01-29 00:57:57,broken clouds
177,Lebu,-37.6167,-73.65,59.29,91,0,4.72,CL,2022-01-29 00:57:58,clear sky
178,Klaksvik,62.2266,-6.589,41.92,92,100,12.8,FO,2022-01-29 00:57:58,overcast clouds
179,Saint-Augustin,51.226,-58.6502,18.23,90,100,6.46,CA,2022-01-29 00:57:58,overcast clouds
180,Atambua,-9.1061,124.8925,78.06,82,100,7.27,ID,2022-01-29 00:57:58,overcast clouds
181,Tuskegee,32.424,-85.6916,44.4,60,30,4.0,US,2022-01-29 00:57:59,scattered clouds
182,Mocuba,-16.8392,36.9856,70.57,99,27,2.51,MZ,2022-01-29 00:57:59,scattered clouds
183,Laguna,38.421,-121.4238,64.24,36,0,0.0,US,2022-01-29 00:56:40,clear sky
184,Ancud,-41.8697,-73.8203,69.33,80,0,6.98,CL,2022-01-29 00:57:59,clear sky
185,Liku,-0.7275,119.8922,80.47,75,100,0.65,ID,2022-01-29 00:58:00,overcast clouds
186,Novyy Urgal,51.0736,132.5642,-23.78,98,92,1.19,RU,2022-01-29 00:59:00,overcast clouds
187,Christchurch,-43.5333,172.6333,76.48,65,100,11.01,NZ,2022-01-29 00:57:02,overcast clouds
188,Ocala,29.1872,-82.1401,56.97,75,82,3.0,US,2022-01-29 00:58:45,broken clouds
189,Maturin,9.75,-63.1767,71.49,76,0,7.49,VE,2022-01-29 00:58:42,clear sky
190,Khalkhal,37.6189,48.5258,14.05,90,69,1.23,IR,2022-01-29 00:59:01,broken clouds
191,Agirish,61.9247,63.0231,-11.34,100,38,3.56,RU,2022-01-29 00:59:01,scattered clouds
192,Purworejo,-6.7872,111.9224,80.6,78,100,5.26,ID,2022-01-29 00:59:01,overcast clouds
193,Miles City,46.4083,-105.8406,40.51,63,77,10.78,US,2022-01-29 00:59:02,broken clouds
194,Barra Patuca,15.8,-84.2833,75.79,77,52,8.03,HN,2022-01-29 00:59:02,broken clouds
195,Kruisfontein,-34.0033,24.7314,63.88,83,100,1.81,ZA,2022-01-29 00:56:39,light rain
196,Makinsk,52.6292,70.4169,-2.15,81,100,3.2,KZ,2022-01-29 00:59:02,overcast clouds
197,Tilichiki,60.4667,166.1,28.8,82,100,20.62,RU,2022-01-29 00:58:30,overcast clouds
198,Hervey Bay,-25.2986,152.8535,84.31,63,5,8.99,AU,2022-01-29 00:55:34,clear sky
199,Mahebourg,-20.4081,57.7,77.29,88,40,0.0,MU,2022-01-29 00:59:03,scattered clouds
200,Bengkulu,-3.8004,102.2655,77.16,84,100,3.06,ID,2022-01-29 00:59:03,overcast clouds
201,Nantucket,41.2835,-70.0995,33.1,92,100,13.91,US,2022-01-29 00:59:03,overcast clouds
202,North Bend,43.4065,-124.2243,57.11,84,0,4.61,US,2022-01-29 00:54:53,clear sky
203,La Union,-5.4,-80.75,75.65,66,100,10.69,PE,2022-01-29 00:56:54,overcast clouds
204,Ketchikan,55.3422,-131.6461,45.07,93,100,13.8,US,2022-01-29 00:59:04,light rain
205,Grindavik,63.8424,-22.4338,25.27,63,75,25.32,IS,2022-01-29 00:59:04,broken clouds
206,Yuci,37.6803,112.7319,24.55,93,6,2.24,CN,2022-01-29 00:59:05,mist
207,Sobolevo,54.4299,31.8996,32.07,97,100,8.28,RU,2022-01-29 00:59:05,snow
208,Narsaq,60.9167,-46.05,18.41,95,100,5.41,GL,2022-01-29 00:59:05,snow
209,Ilulissat,69.2167,-51.1,22.24,58,100,22.88,GL,2022-01-29 00:59:06,overcast clouds
210,Bowen,-20.0167,148.2333,84.42,65,21,17.36,AU,2022-01-29 00:59:06,few clouds
211,Kieta,-6.2167,155.6333,86.56,66,27,6.67,PG,2022-01-29 00:58:05,scattered clouds
212,Necochea,-38.5473,-58.7368,67.03,67,0,11.21,AR,2022-01-29 00:59:06,clear sky
213,Brae,60.3964,-1.353,48.11,96,100,28.72,GB,2022-01-29 00:59:07,overcast clouds
214,Tongchuan,35.0806,109.0897,26.1,68,3,2.77,CN,2022-01-29 00:59:07,clear sky
215,Nuevo Progreso,23.1667,-97.95,60.6,70,98,11.99,MX,2022-01-29 00:59:07,overcast clouds
216,Norman Wells,65.282,-126.8329,-7.56,77,100,6.91,CA,2022-01-29 00:59:08,light snow
217,Labuhan,-6.8844,112.2051,81.34,78,98,5.86,ID,2022-01-29 00:57:54,overcast clouds
218,Mehamn,71.0357,27.8492,23.38,63,100,4.34,NO,2022-01-29 00:59:08,overcast clouds
219,Port Macquarie,-31.4333,152.9167,80.89,69,61,10.47,AU,2022-01-29 00:58:31,broken clouds
220,Nouadhibou,20.931,-17.0347,62.58,82,100,16.11,MR,2022-01-29 00:59:08,overcast clouds
221,Gat,31.61,34.7642,48.4,100,97,6.13,IL,2022-01-29 00:55:00,overcast clouds
222,Erdenet,49.0333,104.0833,-6.95,96,100,4.0,MN,2022-01-29 00:59:09,overcast clouds
223,Roebourne,-20.7833,117.1333,85.78,51,10,13.13,AU,2022-01-29 00:59:09,clear sky
224,Axim,4.8699,-2.2405,78.31,83,61,3.85,GH,2022-01-29 00:59:09,broken clouds
225,Port Hedland,-20.3167,118.5667,84.25,65,100,12.66,AU,2022-01-29 00:59:10,overcast clouds
226,Hammerfest,70.6634,23.6821,18.05,100,20,0.0,NO,2022-01-29 00:59:10,few clouds
227,Sistranda,63.7256,8.834,37.36,90,100,23.02,NO,2022-01-29 00:59:10,light rain
228,Sa Kaeo,13.75,102.3333,78.73,73,83,9.17,TH,2022-01-29 00:59:11,broken clouds
229,Goderich,43.7501,-81.7165,5.92,72,59,5.75,CA,2022-01-29 00:59:11,broken clouds
230,Umm Kaddadah,13.6017,26.6876,53.65,19,91,18.12,SD,2022-01-29 00:59:11,overcast clouds
231,Bambanglipuro,-7.95,110.2833,80.64,75,94,2.73,ID,2022-01-29 00:59:11,overcast clouds
232,Banda Aceh,5.5577,95.3222,79.72,82,17,5.61,ID,2022-01-29 01:00:12,few clouds
233,Zhigalovo,54.8097,105.1578,-22.72,100,100,0.49,RU,2022-01-29 01:00:12,overcast clouds
234,Georgetown,5.4112,100.3354,80.89,91,20,3.0,MY,2022-01-29 00:56:11,haze
235,Talnakh,69.4865,88.3972,1.2,94,100,11.74,RU,2022-01-29 00:59:05,light snow
