City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Esperance,AU,2022-01-27 23:48:37,-33.8667,121.9,66.04,64,46,11.48
118,Chokurdakh,RU,2022-01-27 23:48:37,70.6333,147.9167,-23.84,92,75,10.38
119,Port Blair,IN,2022-01-27 23:48:37,11.6667,92.75,80.64,74,40,5.75
120,Kodiak,US,2022-01-27 23:48:38,57.79,-152.4072,36.91,87,90,12.66
121,Sorong,ID,2022-01-27 23:48:38,-0.8833,131.25,80.96,79,91,3.51
122,Thompson,CA,2022-01-27 23:48:38,55.7435,-97.8558,-9.24,70,75,6.91
123,Sao Miguel Do Araguaia,BR,2022-01-27 23:48:39,-13.275,-50.1628,70.84,94,52,5.39
124,Torbay,CA,2022-01-27 23:45:55,47.6666,-52.7314,21.58,89,100,9.22
125,Sadon,RU,2022-01-27 23:48:39,42.8518,44.0037,13.57,87,66,6.49
126,Tshela,CD,2022-01-27 23:48:40,-4.9833,12.9333,72.63,95,72,1.81
127,Kenai,US,2022-01-27 23:44:58,60.5544,-151.2583,29.03,96,100,17.27
128,Brownwood,US,2022-01-27 23:48:40,31.7093,-98.9912,56.52,55,0,6.91
129,Mar Del Plata,AR,2022-01-27 23:48:41,-38.0023,-57.5575,61.88,72,20,7.0
130,Alfredo Chaves,BR,2022-01-27 23:48:41,-20.635,-40.7497,78.62,87,16,5.17
131,Georgetown,MY,2022-01-27 23:45:13,5.4112,100.3354,78.89,90,20,5.01
132,Suleja,NG,2022-01-27 23:48:41,9.1758,7.1808,75.74,21,18,8.84
133,Avera,US,2022-01-27 23:48:42,33.194,-82.5271,45.72,42,5,5.37
134,Katherine,AU,2022-01-27 23:48:42,-14.4667,132.2667,80.92,78,75,8.05
135,Middletown,US,2022-01-27 23:45:08,39.5151,-84.3983,36.25,82,100,4.61
136,Uvinza,TZ,2022-01-27 23:49:43,-5.1036,30.3911,66.18,94,100,2.95
137,Tuktoyaktuk,CA,2022-01-27 23:49:43,69.4541,-133.0374,-20.2,76,20,8.05
138,Sola,VU,2022-01-27 23:49:43,-13.8833,167.55,81.1,78,100,16.51
139,Aksarka,RU,2022-01-27 23:49:44,66.5606,67.7975,-4.45,99,98,3.96
140,Geraldton,AU,2022-01-27 23:47:37,-28.7667,114.6,81.01,39,0,13.8
141,Cabo San Lucas,MX,2022-01-27 23:44:45,22.8909,-109.9124,76.6,49,20,8.05
142,Nhulunbuy,AU,2022-01-27 23:49:44,-12.2333,136.7667,84.81,79,40,12.66
143,Muzhi,RU,2022-01-27 23:49:44,65.3667,64.6667,-0.71,97,97,4.65
